state,city,name,reference
AC,Cruzeiro do Sul,CT Cruzeiro do Sul,
GO,Abadia de Goiás,CT Abadia de Goiás,
MG,Abadia dos Dourados,CT Abadia dos Dourados,
GO,Abadiânia,CT Abadiânia,
MG,Abaeté,CT Abaeté,
PA,Abaetetuba,CT Abaetetuba,
CE,Abaiara,CT Abaiara,
BA,Abaíra,CT Abaíra ,
BA,Abaré,CT Abaré,
PR,Abatiá,CT Abatiá,
SC,Abdon Batista,CT Abdon Batista,
PA,Abel Figueiredo,CT Abel Figueiredo,
SC,Abelardo Luz,CT Abelardo Luz,
MG,Abre Campo,CT Abre Campo,
PE,Abreu e Lima,CT Abreu e Lima,
TO,Abreulândia,CT Abreulândia,
MG,Acaiaca,CT Acaiaca,
MA,Açailândia,CT Açailândia ,
BA,Acajutiba,CT Acajutiba ,
PA,Acará,CT Acará,
CE,Acarape,CT Acarape,
CE,Acaraú,CT Acaraú,
RN,Acari,CT Acari ,
PI,Acauã,CT Acauã,
RS,Aceguá,CT Aceguá,
CE,Acopiara,CT Acopiara,
MT,Acorizal,CT Acorizal,
AC,Acrelândia,CT Acrelândia,
GO,Acreúna,CT Acreúna,
RN,Açu / Assú,CT Açu / Assú,
MG,Açucena,CT Açucena,
SP,Adamantina,CT Adamantina,
GO,Adelândia,CT Adelândia ,
SP,Adolfo,CT Adolfo,
PR,Adrianópolis,CT Adrianópolis,
BA,Adustina,CT Adustina,
PE,Afogados dangazeira,CT Afogados da Ingazeira,
RN,Afonso Bezerra,CT Afonso Bezerra,
ES,Afonso Cláudio,CT Afonso Cláudio,
MA,Afonso Cunha,CT Afonso Cunha,
PE,Afrânio,CT Afrânio ,
PA,Afuá,CT Afuá,
PE,Agrestina,CT Agrestina,
PI,Agricolândia,CT Agricolândia,
SC,Agrolândia,CT Agrolândia,
SC,Agronômica,CT Agronômica,
PA,Água Azul do Norte,CT Água Azul do Norte,
MG,Água Boa,CT Água Boa,
MT,Água Boa,CT Água Boa,
AL,Água Branca,CT Água Branca,
PB,Água Branca,CT Água Branca,
PI,Água Branca,CT Água Branca,
MS,Água Clara,CT Água Clara ,
MG,Água Comprida,CT Água Comprida,
SC,Água Doce,CT Água Doce,
MA,Água Doce do Maranhão,CT Água Doce do Maranhão,
ES,Água Doce do Norte,CT Água Doce do Norte,
BA,Água Fria,CT Água Fria,
GO,Água Fria de Goiás,CT Água Fria de Goiás ,
GO,Água Limpa,CT Água Limpa,
RN,Água Nova,CT Água Nova,
PE,Água Preta,CT Água Preta,
RS,Água Santa,CT Água Santa ,
SP,Aguaí,CT Aguaí,
MG,Aguanil,CT Aguanil,
PE,Águas Belas,CT Águas Belas,
DF,Águas Claras,CT Águas Claras ,
