uf,city,neighborhood
AL,ÁGUA BRANCA,CENTRO
AL,PARICONHA,CENTRO
AL,INHAPI,CENTRO
AL,SÃO JOSÉ DA TAPERA,CENTRO
AL,CAMPO ALEGRE,LUZIÁPOLIS
AL,CAMPO ALEGRE,CENTRO
AL,LIMOEIRO DE ANADIA,DISTRITO PÉ LEVE
AL,SÃO JOSÉ DA TAPERA,ZONA RURAL
AL,ÁGUA BRANCA,MUTIRAO
AL,CAMPO ALEGRE,POV. CHÃ DA IMBIRA
AL,TANQUE D'ARCA,CENTRO
AL,SENADOR RUI PALMEIRA,CENTRO
AL,BOCA DA MATA,CENTRO
AL,LIMOEIRO DE ANADIA,CENTRO
AL,ANADIA,CENTRO
AL,COITÉ DO NÓIA,CENTRO
AL,MARIBONDO,CENTRO
AL,MARIBONDO,ZONA RURAL
AL,TAQUARANA,CENTRO
AL,IGACI,CENTRO
AL,LIMOEIRO DE ANADIA,ZONA RURAL
AL,IGACI,ZONA RURAL
AL,INHAPI,ZONA RURAL
AM,GUAJARÁ,CENTRO
AM,MANAUS,REDENCAO
AM,JAPURÁ,CENTRO
AM,APUÍ,ZONA RURAL
AM,TONANTINS,ZONA RURAL
AM,UARINI,CENTRO
AM,SANTO ANTÔNIO DO IÇÁ,ZONA RURAL
AM,ALVARÃES,CENTRO
AM,IPIXUNA,CENTRO
AM,MANAUS,SAO JOSE OPERARIO
AM,MANAUS,TANCREDO NEVES
AM,SANTO ANTÔNIO DO IÇÁ,ÁLVARO MAIA
AM,MANAUS,GILBERTO MESTRINHO
AM,SANTO ANTÔNIO DO IÇÁ,ZONA RURAL INDÍGENA
AM,TAPAUÁ,AÇAÍ
AM,TONANTINS,CENTRO
AM,ITAMARATI,CENTRO
AM,SANTO ANTÔNIO DO IÇÁ,SANTA ETELVINA
AM,MANAUS,PLANALTO
AM,MANAUS,TARUMA
AM,TAPAUÁ,SÃO JOÃO
AM,SANTO ANTÔNIO DO IÇÁ,TARACUA
AM,MANAUS,PAZ
AM,MANAUS,CIDADE NOVA
AM,APUÍ,CENTRO
AM,GUAJARÁ,ZONA RURAL
AM,MANAUS,NOVO ALEIXO
AM,MANAUS,CIDADE DE DEUS
