municipio,nome,numero,situacao,estado
ACRELÂNDIA,SIONAYTON RODRIGUES STAUT,11,Não eleito,ac
ACRELÂNDIA,OLAVO FRANCELINO DE REZENDE,10,Eleito,ac
ASSIS BRASIL,SERGIO BATISTA DA SILVA,22,Não eleito,ac
ASSIS BRASIL,JERRY CORREIA MARINHO,11,Eleito,ac
BRASILÉIA,ANA LEILA GALVÃO MAIA MOREIRA,15,Não eleito,ac
BRASILÉIA,CARLOS ARMANDO DE SOUZA ALVES,11,Eleito,ac
BUJARI,JOÃO EDVALDO TELES DE LIMA,12,Eleito,ac
BUJARI,ROBERTO GOMES DE OLIVEIRA  FILHO,20,Não eleito,ac
BUJARI,MICHEL MARQUES ABRAHÃO,44,Não eleito,ac
CAPIXABA,SARA FRANK DE LIMA RODRIGOS,15,Não eleito,ac
CAPIXABA,MANOEL MAIA BESERRA,44,Eleito,ac
CRUZEIRO DO SUL,JOSÉ DE SOUZA LIMA,11,Eleito,ac
CRUZEIRO DO SUL,JESSICA ROJAS SALES,15,Não eleito,ac
EPITACIOLÂNDIA,ANTONIO JOSÉ SOARES DO NASCIMENTO,15,Não eleito,ac
EPITACIOLÂNDIA,SÉRGIO LOPES DE SOUZA,22,Eleito,ac
EPITACIOLÂNDIA,EVERTON SOARES DA SILVA,11,Não eleito,ac
FEIJÓ,TEREZINHA DOS SANTOS MOREIRA,22,Não eleito,ac
FEIJÓ,RAILSON FERREIRA DA SILVA,10,Eleito,ac
FEIJÓ,CLÁUDIO BRAGA LEITE,11,Não eleito,ac
FEIJÓ,CADMIEL JOSÉ ARAÚJO BOMFIM,44,Não eleito,ac
JORDÃO,NAGELA MARIA DE FIGUEIREDO SILVA,20,Não eleito,ac
JORDÃO,FRANCISCO NAUDINO RIBEIRO SOUZA,11,Eleito,ac
JORDÃO,ELSON DE LIMA FARIAS,65,Não eleito,ac
MANOEL URBANO,RAIMUNDO TOSCANO VELOZO,11,Eleito,ac
MANOEL URBANO,FRANCIMILSON RODRIGUES DA SILVA,10,Não eleito,ac
MANOEL URBANO,IZAUTE BARROSO DE SOUZA,44,Não eleito,ac
MARECHAL THAUMATURGO,ITAMAR PEREIRA DE SA,20,Não eleito,ac
MARECHAL THAUMATURGO,VALDELIO JOSE DO NASCIMENTO FURTADO,11,Eleito,ac
MÂNCIO LIMA,JOSE LUIZ GOMES DA COSTA,11,Eleito,ac
MÂNCIO LIMA,FRANCISCO RODRIGUES DE LIMA,15,Não eleito,ac
PLÁCIDO DE CASTRO,FRANCISCO TAVARES DE SOUZA,55,Não eleito,ac
PLÁCIDO DE CASTRO,CAMILO DA SILVA,11,Eleito,ac
PLÁCIDO DE CASTRO,FRANCISCO DAS CHAGAS FERREIRA HOLANDA,12,Não eleito,ac
PORTO ACRE,GILCIRLEY HONORIO RODRIGUES,10,Não eleito,ac
PORTO ACRE,JOSE MARIA RODRIGUES,20,Não eleito,ac
PORTO ACRE,KEILA MARA DA SILVA,45,Não eleito,ac
PORTO ACRE,MAXIMO ANTONIO DE SOUZA DA COSTA,11,Eleito,ac
PORTO WALTER,SEBASTIÃO NOGUEIRA DE ANDRADE,11,Eleito,ac
PORTO WALTER,ALSINEIS JOSÉ GONÇALVES DA SILVA,13,Não eleito,ac
RIO BRANCO,SEBASTIAO BOCALOM RODRIGUES,22,Eleito,ac
RIO BRANCO,EMERSON OLIVEIRA JARUDE THOMAZ,30,Não eleito,ac
RIO BRANCO,JANILSON LOPES LEITE,40,Não eleito,ac
RIO BRANCO,MARCUS ALEXANDRE MEDICI AGUIAR VIANA DA SILVA,15,Não eleito,ac
RODRIGUES ALVES,SALATIEL PINHEIRO MAGALHAES,55,Eleito,ac
RODRIGUES ALVES,FRANCISCO ERNILSON DE FREITAS,20,Não eleito,ac
RODRIGUES ALVES,FRANCISCO JARDSON FERNANDES DE SOUZA,11,Não eleito,ac
SANTA ROSA DO PURUS,ALDO RODRIGUES DE MOURA,20,Não eleito,ac
SANTA ROSA DO PURUS,JOSE ALTAMIR TAUMATURGO SÁ,15,Eleito,ac
SANTA ROSA DO PURUS,TXUA DOMINGOS HUNI KUIN,40,Não eleito,ac
SENA MADUREIRA,GILBERTO LIRA DE ALMEIDA,44,Não eleito,ac
SENA MADUREIRA,GEHLEN DINIZ ANDRADE,11,Eleito,ac
SENADOR GUIOMARD,ADONAY DE OLIVEIRA BRITO,13,Não eleito,ac
SENADOR GUIOMARD,JUCIMAR PESSOA DE SOUZA,55,Não eleito,ac
